id,total_value,neighborhood,pclass,p13_date,sqft,bathrooms,bedrooms,allrooms,stories,units,zoning,construction,year_built,basement_sqft,lot_sqft,change_date,sales_date,recordation_date,zipcode
16437,2551351,Pacific Heights,Dwelling,1999-08-01,5960,6.0,8,17,3,1,RH2,D,1900,0,3504,08/01/1999,02/05/1999,02/05/1999,94115
200354,602029,Noe Valley,Dwelling,1997-04-01,1935,4.0,5,8,1,1,RH1,D,1922,420,1245,04/01/1997,10/30/1996,05/17/1940,94131
1839186,916133,Noe Valley,Condominium,2013-05-17,516,1.0,2,4,0,1,RMI,D,1900,0,0,06/01/1999,05/17/2013,05/17/2013,94114
1267027,1154215,Noe Valley,Dwelling,2012-09-19,1290,2.0,2,5,1,1,RH2,D,1937,476,975,08/01/1999,09/19/2012,09/19/2012,94114
993959,590243,Pacific Heights,Condominium,1999-08-01,2200,3.0,3,5,1,1,RM2,D,1969,0,0,08/01/1999,12/17/1987,12/17/1987,94123
540462,742560,Noe Valley,Dwelling,1999-08-01,950,2.0,1,5,1,1,RH1,D,1900,0,2848,08/01/1999,05/08/1920,05/08/1920,94131
138641,2764104,Pacific Heights,Dwelling,2010-06-16,3272,3.0,3,12,2,1,RH2,D,1900,998,3511.75,12/01/2009,06/16/2010,06/16/2010,94115
1894871,963110,Pacific Heights,Condominium,1997-06-01,1050,1.0,1,3,0,1,RM2,D,1928,0,0,06/01/1997,04/07/1950,04/07/1950,94109
452471,1109879,Pacific Heights,Dwelling,2015-03-01,2734,3.0,3,6,3,1,RH1D,D,1953,0,2170,03/01/2015,11/22/1994,10/22/2012,94123
1276127,1431874,Pacific Heights,Dwelling,2014-07-17,3544,4.0,5,9,3,1,RH1,D,1908,0,4125,09/01/1996,12/14/1994,07/17/2014,94123
1305662,284430,Pacific Heights,Condominium,2014-10-16,1164,1.0,2,4,1,1,RM3,D,1916,0,0,08/01/1999,10/16/2014,10/16/2014,94109
661886,2195534,Noe Valley,Dwelling,2012-07-27,3374,3.0,4,0,3,1,RH2,D,1921,0,2735,05/01/2011,02/24/1990,07/27/2012,94114
1926049,851773,Pacific Heights,Condominium,2014-04-22,1565,2.0,2,5,0,1,RM3,C,1922,0,0,02/01/1998,04/22/2014,04/22/2014,94109
1993339,288320,Pacific Heights,Condominium,2012-05-15,1060,3.0,2,4,0,1,RC4,D,1987,0,0,06/01/1998,,05/15/2012,94109
1053869,400652,Pacific Heights,Condominium,2010-05-30,1437,1.0,3,6,1,1,,D,1900,0,0,,,05/30/2010,94115
261821,1525986,Noe Valley,Dwelling,2010-03-25,1826,2.0,3,6,1,1,RH1,D,1928,500,2000,09/01/1998,03/25/2010,03/25/2010,94114
