"district_code","lea_district","name","caed_name","tiger_name","test_name","county_name","website","intptlat","intptlon","pct_in_county","lograde","higrade","county_code","school_code","test_year","subgroup_id","total_caaspp_enrollment","total_tested_at_entity_level","total_tested_at_subgroup_level","grade","test_id","caaspp_reported_enrollment","students_tested","students_with_scores","percent_tested","mean_scale_score","percentage_standard_exceeded","percentage_standard_met","percentage_standard_met_and_above","percentage_standard_nearly_met","percentage_standard_not_met","area_1_percentage_above_standard","area_1_percentage_at_or_near_standard","area_1_percentage_below_standard","area_2_percentage_above_standard","area_2_percentage_at_or_near_standard","area_2_percentage_below_standard","area_3_percentage_above_standard","area_3_percentage_at_or_near_standard","area_3_percentage_below_standard","area_4_percentage_above_standard","area_4_percentage_at_or_near_standard","area_4_percentage_below_standard","State","FIPS","TotPop","Pop_5_17","Pop_5_17_Poverty","Pop_5_17_Poverty_Percent","CO","DISTRICT","ExpendituresEDP365","CurrentExpenseADA","CurrentExpensePerADA","LEAType"
69674,35430,"Santa Clara Unified School District","Santa Clara Unified","Santa Clara Unified School District","Mathematics","Santa Clara","www.santaclarausd.org",37.401688,-121.973393,100,0,12,43,0,2015,1,9057,8848,8848,5,2,1200,1163,1157,96.9,2513.7,27,18,45,27,28,30,31,39,28,38,34,25,46,29,0,0,0,"CA",6,152458,19566,1343,6.863948,43,"Santa Clara Unified",152123639,14557.1,10450,"Unified"
69682,35910,"Saratoga Union Elementary School District","Saratoga Union Elementary","Saratoga Union Elementary School District","Mathematics","Santa Clara","www.saratogausd.org",37.245018,-122.048466,100,0,8,43,0,2015,1,1617,1604,1604,5,2,275,269,269,97.8,2622.1,76,12,87,9,4,80,14,6,72,22,6,71,22,7,0,0,0,"CA",6,20926,2669,79,2.95991,43,"Saratoga Union Elementary",27326561,2041.7,13384,"Elementary"
69690,38460,"Sunnyvale Elementary School District","Sunnyvale","Sunnyvale Elementary School District","Mathematics","Santa Clara","www.sesd.org",37.389736,-122.024759,100,0,8,43,0,2015,1,4230,4130,4130,5,2,719,700,699,97.4,2536.4,35,20,55,24,21,41,30,28,34,39,26,32,45,23,0,0,0,"CA",6,90415,8345,670,8.02876,43,"Sunnyvale",67914538,6502.8,10444,"Elementary"
69708,40320,"Union Elementary School District","Union Elementary","Union Elementary School District","Mathematics","Santa Clara","www.unionsd.org",37.242009,-121.917411,100,0,8,43,0,2015,1,3736,3689,3689,5,2,642,633,629,98.6,2558.6,43,24,67,21,11,50,32,18,42,42,16,40,44,16,0,0,0,"CA",6,47064,6025,262,4.348548,43,"Union Elementary",45876877,5391.7,8509,"Elementary"
69732,5640,"Bonny Doon Union Elementary School District","Bonny Doon Union Elementary","Bonny Doon Union Elementary School District","Mathematics","Santa Cruz","www.bonnydoon.santacruz.k12.ca.us",37.066496,-122.15082,100,0,6,44,0,2015,1,73,64,64,5,2,22,18,18,81.8,2515.7,22,22,44,33,22,28,28,44,33,44,22,33,39,28,0,0,0,"CA",6,3036,185,22,11.891892,44,"Bonny Doon Union Elementary",1584008,139.1,11385,"Elementary"
69757,16560,"Happy Valley Elementary School District","Happy Valley Elementary","Happy Valley Elementary School District","Mathematics","Santa Cruz","www.hvesd.com",37.046154,-121.981377,100,0,6,44,0,2015,1,78,74,74,5,2,20,19,19,95,2517.2,26,21,47,26,26,26,37,37,26,47,26,16,63,21,0,0,0,"CA",6,1449,107,8,7.476636,44,"Happy Valley Elementary",1146512,131.3,8735,"Elementary"
69765,21990,"Live Oak Elementary School District","Live Oak Elementary","Live Oak Elementary School District","Mathematics","Santa Cruz","www.tierrapacifica.santacruz.k12.ca.us",36.955201,-121.974894,100,0,6,44,0,2015,1,1352,1302,1302,5,2,207,203,203,98.1,2468,10,12,23,31,47,13,27,60,12,39,49,9,52,38,0,0,0,"CA",6,23280,1563,350,22.392834,44,"Live Oak Elementary",16406377,1737.1,9445,"Elementary"
69773,26070,"Mountain Elementary School District","Mountain Elementary","Mountain Elementary School District","Mathematics","Santa Cruz","www.mountainesd.org",37.060465,-121.917974,100,0,6,44,0,2015,1,62,62,62,5,2,19,19,19,100,2571.1,53,26,79,16,5,74,11,16,53,47,0,37,58,5,0,0,0,"CA",6,1335,74,7,9.459459,44,"Mountain Elementary",1507388,114.9,13125,"Elementary"
69781,29340,"Pacific Elementary School District","Pacific Elementary","Pacific Elementary School District","Mathematics","Santa Cruz","www.pacificesd.org",37.1246,-122.245267,100,0,6,44,0,2015,1,63,60,60,5,2,16,13,12,81.3,2531,31,23,54,23,15,33,33,33,25,58,17,25,50,25,0,0,0,"CA",6,864,59,6,10.169492,44,"Pacific Elementary",1044784,97.8,10683,"Elementary"
69799,29490,"Pajaro Valley Joint Unified School District","Pajaro Valley Unified","Pajaro Valley Joint Unified School District","Mathematics","Santa Cruz","www.watsonvillehs.net",36.935076,-121.790231,79.721017,0,12,44,0,2015,1,11959,11671,11671,5,2,1671,1628,1602,97.4,2455.1,8,11,19,27,53,12,23,65,9,33,58,8,39,53,0,0,0,"CA",6,118358,22198,5093,22.943508,44,"Pajaro Valley Unified",198028921,17315.6,11436,"Unified"
69807,34740,"San Lorenzo Valley Unified School District","San Lorenzo Valley Unified","San Lorenzo Valley Unified School District","Mathematics","Santa Cruz","www.slvusd.org/charter",37.140875,-122.115279,100,0,12,44,0,2015,1,1669,1600,1600,5,2,233,222,222,95.3,2506.3,24,21,45,26,29,30,32,38,21,46,33,23,45,32,0,0,0,"CA",6,24738,3239,311,9.601729,44,"San Lorenzo Valley Unified",21946891,2276.8,9639,"Unified"
69815,35590,"Santa Cruz City Elementary School District","Santa Cruz City Elementary","Santa Cruz City Elementary School District","Mathematics","Santa Cruz","www.sccssantacruz.k12.ca.us",36.949653,-122.06181,100,0,6,44,0,2015,1,1186,1123,1123,5,2,417,395,395,94.7,2508.1,22,21,43,29,28,27,32,41,24,43,33,21,51,28,0,0,0,"CA",6,64500,3184,445,13.976131,NA,NA,NA,NA,NA,NA
75432,43,"Scotts Valley Unified School District","Scotts Valley Unified","Scotts Valley Unified School District","Mathematics","Santa Cruz","www.vinehill.scottsvalleyusd.org",37.075934,-122.005321,100,0,12,44,0,2015,1,1590,1551,1551,5,2,193,185,185,95.9,2539.9,34,24,57,31,11,38,37,25,35,50,15,31,53,16,0,0,0,"CA",6,18296,3167,233,7.35712,44,"Scotts Valley Unified",20651445,2383.4,8665,"Unified"
69849,37290,"Soquel Elementary School District","Soquel Union Elementary","Soquel Elementary School District","Mathematics","Santa Cruz","www.soqueldo.santacruz.k12.ca.us",37.00139,-121.952059,100,0,8,44,0,2015,1,1370,1338,1338,5,2,205,201,201,98,2494.2,14,24,38,32,30,16,39,45,17,54,29,15,56,29,0,0,0,"CA",6,27153,2335,276,11.820128,44,"Soquel Union Elementary",16417223,1937.2,8475,"Elementary"
