"district_code","lea_district","name","caed_name","tiger_name","test_name","county_name","website","intptlat","intptlon","pct_in_county","lograde","higrade","county_code","school_code","test_year","subgroup_id","total_caaspp_enrollment","total_tested_at_entity_level","total_tested_at_subgroup_level","grade","test_id","caaspp_reported_enrollment","students_tested","students_with_scores","percent_tested","mean_scale_score","percentage_standard_exceeded","percentage_standard_met","percentage_standard_met_and_above","percentage_standard_nearly_met","percentage_standard_not_met","area_1_percentage_above_standard","area_1_percentage_at_or_near_standard","area_1_percentage_below_standard","area_2_percentage_above_standard","area_2_percentage_at_or_near_standard","area_2_percentage_below_standard","area_3_percentage_above_standard","area_3_percentage_at_or_near_standard","area_3_percentage_below_standard","area_4_percentage_above_standard","area_4_percentage_at_or_near_standard","area_4_percentage_below_standard","State","FIPS","TotPop","Pop_5_17","Pop_5_17_Poverty","Pop_5_17_Poverty_Percent","CO","DISTRICT","ExpendituresEDP365","CurrentExpenseADA","CurrentExpensePerADA","LEAType"
75119,21,"Sunol Glen Unified School District","Sunol Glen Unified","Sunol Glen Unified School District","Mathematics","Alameda","www.sunol.k12.ca.us",37.551134,-121.80546,100,0,12,1,0,2015,1,178,174,174,5,2,31,29,29,93.5,2554,31,31,62,31,7,34,59,7,52,31,17,38,48,14,0,0,0,"CA",6,1008,127,8,6.299213,1,"Sunol Glen Unified",2750107,267.2,10292,"Unified"
68478,34410,"San Francisco Unified School District","San Francisco Unified","San Francisco Unified School District","Mathematics","San Francisco","www.xcelacademysf.org",37.727239,-123.032229,100,0,12,38,0,2015,1,31620,30375,30375,5,2,4254,4134,4117,97.2,2510.6,26,21,47,24,29,31,32,37,26,40,33,25,45,29,0,0,0,"CA",6,852469,75162,11094,14.760118,38,"San Francisco Unified",524740297,51003.7,10288,"Unified"
68858,4200,"Bayshore Elementary School District","Bayshore Elementary","Bayshore Elementary School District","Mathematics","San Mateo","www.calpacschools.org",37.691229,-122.391436,100,0,8,41,0,2015,1,279,276,276,5,2,39,37,37,94.9,2468.9,0,14,14,51,35,0,54,46,11,49,41,3,54,43,0,0,0,"CA",6,6055,708,163,23.022599,41,"Bayshore Elementary",3326082,363.8,9144,"Elementary"
68866,4530,"Belmont-Redwood Shores Elementary School District","Belmont-Redwood Shores Elementary","Belmont-Redwood Shores Elementary School District","Mathematics","San Mateo","www.brssd.org",37.537569,-122.237303,100,0,8,41,0,2015,1,2512,2479,2479,5,2,455,443,443,97.4,2559.5,45,22,67,22,12,52,28,19,44,40,16,42,42,16,0,0,0,"CA",6,43091,4416,215,4.868659,41,"Belmont-Redwood Shores Elementary",35164173,3787.2,9285,"Elementary"
68874,6060,"Brisbane Elementary School District","Brisbane Elementary","Brisbane Elementary School District","Mathematics","San Mateo","www.brisbanesd.org",37.67575,-122.383302,100,0,8,41,0,2015,1,323,309,309,5,2,57,54,54,94.7,2487.8,17,20,37,35,28,17,35,48,19,54,28,20,46,33,0,0,0,"CA",6,8804,746,52,6.970509,41,"Brisbane Elementary",6200081,437.6,14170,"Elementary"
68882,6480,"Burlingame Elementary School District","Burlingame Elementary","Burlingame Elementary School District","Mathematics","San Mateo","www.caliva.org",37.586604,-122.366089,100,0,8,41,0,2015,1,2154,2091,2091,5,2,355,335,335,94.4,2561.4,45,24,69,22,8,52,28,20,46,43,11,42,46,12,0,0,0,"CA",6,31574,3368,216,6.413302,41,"Burlingame Elementary",27248007,3204.3,8503,"Elementary"
68890,6780,"Cabrillo Unified School District","Cabrillo Unified","Cabrillo Unified School District","Mathematics","San Mateo","www.cabrillo.k12.ca.us",37.437737,-122.436838,100,0,12,41,0,2015,1,2052,1960,1960,5,2,258,251,248,97.3,2498.7,15,22,37,33,29,23,34,43,17,48,35,17,55,28,0,0,0,"CA",6,26853,4305,298,6.922184,41,"Cabrillo Unified",28976737,3210.1,9027,"Unified"
68908,17190,"Hillsborough City Elementary School District","Hillsborough City Elementary","Hillsborough City Elementary School District","Mathematics","San Mateo","www.hcsd.k12.ca.us",37.557077,-122.358509,100,0,8,41,0,2015,1,1078,1058,1058,5,2,192,187,187,97.4,2598.2,65,21,86,12,2,72,22,5,61,36,3,57,39,4,0,0,0,"CA",6,11406,1700,77,4.529412,41,"Hillsborough City Elementary",24078628,1503.8,16012,"Elementary"
68916,18870,"Jefferson Elementary School District","Jefferson Elementary","Jefferson Elementary School District","Mathematics","San Mateo","www.jsd.k12.ca.us",37.690193,-122.49627,100,0,8,41,0,2015,1,4216,4173,4173,5,2,698,673,667,96.4,2485.9,13,18,31,35,34,17,37,46,15,45,40,13,51,36,0,0,0,"CA",6,91626,8371,973,11.623462,41,"Jefferson Elementary",51480637,6103.2,8435,"Elementary"
68940,20220,"La Honda-Pescadero Unified School District","La Honda-Pescadero Unified","La Honda-Pescadero Unified School District","Mathematics","San Mateo","www.lhpusd.com",37.22565,-122.297533,100,0,12,41,0,2015,1,199,197,197,5,2,26,26,26,100,2493.6,19,19,38,23,38,19,23,58,27,46,27,23,38,38,0,0,0,"CA",6,3657,483,78,16.149068,41,"La Honda-Pescadero Unified",5134334,321.8,15954,"Unified"
68957,22380,"Las Lomitas Elementary School District","Las Lomitas Elementary","Las Lomitas Elementary School District","Mathematics","San Mateo","www.llesd.k12.ca.us",37.422146,-122.215902,100,0,8,41,0,2015,1,973,948,948,5,2,172,167,166,97.1,2554.5,43,18,61,29,10,43,34,23,42,45,13,39,48,13,0,0,0,"CA",6,11987,1544,40,2.590674,41,"Las Lomitas Elementary",20834942,1353,15399,"Elementary"
